"ano";"num_trimestre";"nom_categoria";"nom_tipo_instituicao";"num_cnpj_instituicao";"nom_instituicao";"vlr_ind_recl";"qtd_recl_reg_prec";"qtd_recl_reg_outr";"qtd_recl_nao_reg";"qtd_totl_recl";"qtd_totl_clie_css_scr";"qtd_clie_ccs";"qtd_clie_scr";"dat_hor_psst"
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33042151;BANCO DE LA NACION ARGENTINA;;0;2;0;2;267;255;22;1692158046.450309
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;5040481;BANCO DE LAGE LANDEN BRASIL S.A.;;0;0;1;1;35292;4;35289;1692158046.450311
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;424.8;132;31;33;196;310734;142304;203761;1692158046.450314
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;164.66;139;44;33;216;844129;844129;;1692158046.450317
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;4913711;BANCO DO ESTADO DO PARÁ S.A.;56.38;56;28;23;107;993127;869557;435700;1692158046.45032
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;7237373;BANCO DO NORDESTE DO BRASIL S.A.;;9;41;48;98;9294372;8720080;3310284;1692158046.450324
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33644196;BANCO FATOR S.A.;;1;0;0;1;13172;13168;13;1692158046.450327
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;58616418;BANCO FIBRA S.A.;;0;1;0;1;163544;4432;159809;1692158046.45033
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684;BANCO HSBC S.A.;;0;4;8;12;3858;3843;82;1692158046.450333
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;4866275;BANCO INBURSA S.A.;;10;10;5;25;27585;10;27575;1692158046.450336
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;91884981;BANCO JOHN DEERE S.A.;;0;1;0;1;13559;254;13367;1692158046.45034
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;61088183;BANCO MIZUHO DO BRASIL S.A.;;1;2;0;3;1249;1226;63;1692158046.450343
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;78632767;BANCO OURINVEST S.A.;;6;14;1;21;257799;253773;4082;1692158046.450346
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;61820817;BANCO PAULISTA S.A.;;13;4;0;17;57603;8406;49516;1692158046.45035
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;1023570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;;0;1;0;1;3872;3691;1699;1692158046.450353
